Name,Size,Type,Alignment,AC,HP,Speeds,STR,DEX,CON,INT,WIS,CHA,SavingThrows,Skills,WRI,Senses,Languages,CR,Additional,Font,AdditionalInfo,Author
"Misc. Creature, Giant Elk",Huge,beast,unaligned,14,42,60 ft.,19,16,14,7,14,10,,Perception,,Normal,"Own, Common, Elvish, Sylvan",2,Charge,Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Fire Beetle",small,beast,unaligned,13,4,30 ft.,8,10,12,1,7,3,,,,Blindsight 30,,0,Illumination,Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Frog",Medium,beast,unaligned,11,18,"30 ft., swim 30 ft.",12,13,11,2,10,3,,"Perception, Stealth",,Darkvision 30,,1/4,"Amphibious, Standing Leap",Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Goat",Large,beast,unaligned,11,19,40 ft.,17,11,12,3,12,6,,,,Normal,,1/2,"Charge, Sure-Footed",Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Hyena",Large,beast,unaligned,12,45,50 ft.,16,14,14,2,12,7,,Perception,,Normal,,1,Rampage,Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Lizard",Large,beast,unaligned,12,19,"30 ft., climb 30 ft.",15,12,13,2,10,5,,,,Darkvision 30,,1/4,,Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Octopus",Large,beast,unaligned,11,52,"10 ft., swim 60 ft.",17,13,13,4,10,4,,"Perception, Stealth",,Darkvision 60,,1,"Hold Breath, Underwater Camouflage, Water Breathing",Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Owl",Large,beast,unaligned,12,19,"5 ft., fly 60 ft.",13,15,12,8,13,10,,"Perception, Stealth",,Darkvision 120,"Own, Common, Elvish, Sylvan",1/4,"FLyby, Keen Hearing, Keen Sight",Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Poisonous Snake",Medium,beast,unaligned,14,11,"30 ft., swim 30 ft.",10,18,13,2,10,3,,Perception,,Blindsight 10,,1/4,,Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Rat",Small,beast,unaligned,12,7,30 ft.,7,15,11,2,10,4,,,,Darkvision 60,,1/8,"Keen Smell, Pack Tactics",Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Scorpion",Large,beast,unaligned,15,52,40 ft.,15,13,15,1,9,3,,,,Blindsight 60,,3,,Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Sea Horse",Large,beast,unaligned,13,16,swim 40 ft.,12,15,11,2,12,5,,,,Normal,,1/2,"Charge, Water Breathing",Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Shark",Huge,beast,unaligned,13,126,swim 50 ft.,23,11,21,1,10,5,,Perception,,Blindsight 60,,5,"Blood Frenzy, Water Breathing",Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Spider",Large,beast,unaligned,14,26,"30 ft., climb 30 ft.",14,16,12,2,11,4,,Stealth,,"Blindsight 10, darkvision 60",,1,"Spider Climb, Web Sense, Web Walker",Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Toad",Large,beast,unaligned,11,39,"20 ft., swim 40 ft.",15,13,13,2,10,3,,,,Darkvision 30,,1,"Amphibious, Standing Leap",Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Vulture",Large,beast,neutral evil,10,22,"10 ft., fly 60 ft.",15,10,15,6,12,7,,Perception,,Normal,Common,1,"Keen Sight, Keen Smell, Pack Tactics",Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Wasp",Medium,beast,unaligned,12,13,"10 ft., fly 50 ft.",10,14,10,1,10,3,,,,Normal,,1/2,,Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Weasel",Medium,beast,unaligned,13,9,40 ft.,11,16,10,4,12,5,,"Perception, Stealth",,Darkvision 60,,1/8,"Keen Hearing, Keen Smell",Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Wolf Spider",Medium,beast,unaligned,13,11,"40 ft., climb 40 ft.",12,16,13,3,12,4,,"Perception, Stealth",,"Blindsight 10, darkvision 60",,1/4,"Spider Climb, Web Sense, Web Walker",Monster Manual,,Wizards of the Coast
"Misc. Creature, Goat",Medium,beast,unaligned,10,4,40 ft.,12,10,11,2,10,5,,,,Normal,,0,"Charge, Sure-Footed",Monster Manual,,Wizards of the Coast
"Misc. Creature, Hawk",Tiny,beast,unaligned,13,1,"10 ft., fly 60 ft.",5,16,8,2,14,6,,Perception,,Normal,,0,Keen Sight,Monster Manual,,Wizards of the Coast
"Misc. Creature, Hunter Shark",Large,beast,unaligned,12,45,swim 40 ft.,18,13,15,1,10,4,,Perception,,Blindsight 30,,2,"Blood Frenzy, Water Breathing",Monster Manual,,Wizards of the Coast
"Misc. Creature, Hyena",Medium,beast,unaligned,11,5,50 ft.,11,13,12,2,12,5,,Perception,,Normal,,0,Pack Tactics,Monster Manual,,Wizards of the Coast
"Misc. Creature, Jackal",Small,beast,unaligned,12,3,40 ft.,8,15,11,3,12,6,,Perception,,Normal,,0,"Keen Hearing, Keen Smell, Pack Tactics",Monster Manual,,Wizards of the Coast
"Misc. Creature, Killer Whale",Huge,beast,unaligned,12,90,swim 60 ft.,19,10,13,3,12,7,,Perception,,Blindsight 120,,3,"Echolocation, Hold Breath, Keen Hearing",Monster Manual,,Wizards of the Coast
"Misc. Creature, Lion",Large,beast,unaligned,12,26,50 ft.,17,15,13,3,12,8,,"Perception, Stealth",,Normal,,1,"Keen Smell, Pack Tactics, Pounce, Running Leap",Monster Manual,,Wizards of the Coast
"Misc. Creature, Lizard",Tiny,beast,unaligned,10,2,"20 ft., climb 20 ft.",2,11,10,1,8,3,,,,Darkvision 30,,0,,Monster Manual,,Wizards of the Coast
"Misc. Creature, Mammoth",Huge,beast,unaligned,13,126,40 ft.,24,9,21,3,11,6,,,,Normal,,6,Trampling Charge,Monster Manual,,Wizards of the Coast
"Misc. Creature, Mastiff",Medium,beast,unaligned,12,5,40 ft.,13,14,12,3,12,7,,Perception,,Normal,,1/8,"Keen Hearing, Keen Smell",Monster Manual,,Wizards of the Coast
"Misc. Creature, Mule",Medium,beast,unaligned,10,11,40 ft.,14,10,13,2,10,5,,,,Normal,,1/8,"Beast of Burden, Sure-Footed",Monster Manual,,Wizards of the Coast
"Misc. Creature, Octopus",Small,beast,unaligned,12,3,"5 ft., swim 30 ft.",4,15,11,3,10,4,,"Perception, Stealth",,Darkvision 30,,0,"Hold Breath, Underwater Camouflage, Water Breathing",Monster Manual,,Wizards of the Coast
"Misc. Creature, Owl",Tiny,beast,unaligned,11,1,"5 ft., fly 60 ft.",3,13,8,2,12,7,,"Perception, Stealth",,Darkvision 120,,0,"FLyby, Keen Hearing, Keen Sight",Monster Manual,,Wizards of the Coast
"Misc. Creature, Panther",Medium,beast,unaligned,12,13,"50 ft., climb 40 ft.",14,15,10,3,14,7,,"Perception, Stealth",,Normal,,1/4,"Keen Smell, Pounce",Monster Manual,,Wizards of the Coast
"Misc. Creature, Phase Spider",Large,monstrosity,unaligned,13,32,"30 ft., climb 30 ft.",15,15,12,6,10,6,,Stealth,,Darkvision 60,,3,"Ethereal Jaunt, Spider Climb, Web Walker",Monster Manual,,Wizards of the Coast
"Misc. Creature, Poisonous Snake",Tiny,beast,unaligned,13,13,"30 ft., swim 30 ft.",2,16,11,1,10,3,,,,Blindsight 10,,1/8,,Monster Manual,,Wizards of the Coast
"Misc. Creature, Polar Bear",Large,beast,unaligned,12,42,"40 ft., swim 30 ft.",20,10,16,2,13,7,,Perception,,Normal,,2,Keen Smell,Monster Manual,,Wizards of the Coast
"Misc. Creature, Pony",Medium,beast,unaligned,10,11,40 ft.,15,10,13,2,11,7,,,,Normal,,1/8,,Monster Manual,,Wizards of the Coast
"Misc. Creature, Quipper",Tiny,beast,unaligned,13,1,swim 40 ft.,2,16,9,1,7,2,,,,Darkvision 60,,0,"Blood Frenzy, Water Breathing",Monster Manual,,Wizards of the Coast
"Misc. Creature, Rat",Tiny,beast,unaligned,10,1,20 ft.,2,11,9,2,10,4,,,,Darkvision 30,,0,Keen Smell,Monster Manual,,Wizards of the Coast
"Misc. Creature, Raven",Tiny,beast,unaligned,12,1,"10 ft., fly 50 ft.",2,14,8,2,12,6,,Perception,,Normal,,0,Mimicry,Monster Manual,,Wizards of the Coast
"Misc. Creature, Reef Shark",Medium,beast,unaligned,12,22,swim 40 ft.,14,13,13,1,10,4,,Perception,,Blindsight 30,,1/2,"Pack Tactics, Water Breathing",Monster Manual,,Wizards of the Coast
"Misc. Creature, Rhinoceros",Large,beast,unaligned,11,45,40 ft.,21,8,15,2,12,6,,,,Normal,,2,Charge,Monster Manual,,Wizards of the Coast
"Misc. Creature, Riding Horse",Large,beast,unaligned,10,13,60 ft.,16,10,12,2,11,7,,,,Normal,,1/4,,Monster Manual,,Wizards of the Coast
"Misc. Creature, Saber-Toothed Tiger",Large,beast,unaligned,12,52,40 ft.,18,14,15,3,12,8,,"Perception, Stealth",,Normal,,2,"Keen Smell, Pounce",Monster Manual,,Wizards of the Coast
"Misc. Creature, Scorpion",Tiny,beast,unaligned,11,1,10 ft.,2,11,8,1,8,2,,,,Normal,,0,,Monster Manual,,Wizards of the Coast
"Misc. Creature, Sea Horse",Tiny,beast,unaligned,11,1,swim 20 ft.,1,12,8,1,10,2,,,,Normal,,0,Water Breathing,Monster Manual,,Wizards of the Coast
"Misc. Creature, Spider",Tiny,beast,unaligned,12,1,"20 ft., climb 20 ft.",2,14,8,1,10,2,,Stealth,,Darkvision 30,,0,"Spider Climb, Web Sense, Web Walker",Monster Manual,,Wizards of the Coast
"Misc. Creature, Swarm of Bats",Medium,beast,unaligned,12,22,fly 30 ft.,5,15,10,2,12,4,,,"Bludgeoningres, piercingres, slashingres, charmedimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, proneimmu, restrainedimmu, stunnedimmu",Blindsight 60,,1/4,"Echolocation, Keen Hearing Swarm",Monster Manual,,Wizards of the Coast
"Misc. Creature, Swarm of Insects",Medium,beast,unaligned,12,22,"20 ft., climb 20 ft.",3,13,10,1,7,1,,,"Bludgeoningres, piercingres, slashingres, charmedimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, proneimmu, restrainedimmu, stunnedimmu",Blindsight 10,,1/2,Swarm,Monster Manual,,Wizards of the Coast
"Misc. Creature, Swarm of Poisonous Snakes",Medium,beast,unaligned,14,36,"30 ft., swim 30 ft.",8,18,11,1,10,3,,,"Bludgeoningres, piercingres, slashingres, charmedimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, proneimmu, restrainedimmu, stunnedimmu",Blindsight 10,,2,Swarm,Monster Manual,,Wizards of the Coast
"Misc. Creature, Swarm of Quippers",Medium,beast,unaligned,13,28,swim 40 ft.,13,16,9,1,7,2,,,"Bludgeoningres, piercingres, slashingres, charmedimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, proneimmu, restrainedimmu, stunnedimmu",Normal,,1,"Blood Frenzy, Swarm, Water Breathing",Monster Manual,,Wizards of the Coast
"Misc. Creature, Swarm of Rats",Medium,beast,unaligned,10,24,30 ft.,9,11,9,2,10,3,,,"Bludgeoningres, piercingres, slashingres, charmedimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, proneimmu, restrainedimmu, stunnedimmu",Normal,,1/4,"Keen Smell, Swarm",Monster Manual,,Wizards of the Coast
"Misc. Creature, Swarm of Ravens",Medium,beast,unaligned,12,24,"10 ft., fly 50 ft.",6,14,8,3,12,6,,Perception,"Bludgeoningres, piercingres, slashingres, charmedimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, proneimmu, restrainedimmu, stunnedimmu",Normal,,1/4,Swarm,Monster Manual,,Wizards of the Coast
"Misc. Creature, Tiger",Large,beast,unaligned,12,37,40 ft.,17,15,14,3,12,8,,"Perception, Stealth",,Darkvision 60,,1,"Keen Smell, Pounce",Monster Manual,,Wizards of the Coast
"Misc. Creature, Vulture",Medium,beast,unaligned,10,5,"10 ft., fly 50 ft.",7,10,13,2,12,4,,Perception,,Normal,,0,"Keen Sight, Keen Smell, Pack Tactics",Monster Manual,,Wizards of the Coast
"Misc. Creature, Warhorse",Large,beast,unaligned,11,19,60 ft.,18,12,13,2,12,7,,,,Normal,,1/2,Trampling Charge,Monster Manual,,Wizards of the Coast
"Misc. Creature, Weasel",Tiny,beast,unaligned,13,1,30 ft.,3,16,8,2,12,3,,"Perception, Stealth",,Normal,,0,"Keen Hearing, Keen Smell",Monster Manual,,Wizards of the Coast
"Misc. Creature, Winter Wolf",Large,monstrosity,neutral evil,13,75,50 ft.,18,13,14,7,12,8,,"Perception, Stealth",Coldimmu,Normal,"Common, Giant, Own",3,"Keen Hearing, Keen Smell, Pack Tactics, Snow Camouflage",Monster Manual,,Wizards of the Coast
"Misc. Creature, Wolf",Medium,beast,unaligned,13,11,40 ft.,12,15,12,3,12,6,,"Perception, Stealth",,Normal,,1/4,"Keen Hearing, Keen Smell, Pack Tactics",Monster Manual,,Wizards of the Coast
"Misc. Creature, Worg",Large,monstrosity,neutral evil,13,26,50 ft.,16,13,13,7,11,8,,Perception,,Darkvision 60,"Goblin, Own",1/2,"Keen Hearing, Keen Smell",Monster Manual,,Wizards of the Coast
"Modron, Duodrone",Medium,construct,lawful neutral,15,11,30 ft.,11,13,12,6,10,7,,,,Truesight 120,Modron,1/4,"Axiomatic Mind, Disintegration",Monster Manual,,Wizards of the Coast
"Modron, Monodrone",Medium,construct,lawful neutral,15,5,"30 ft., fly 30 ft.",1,13,12,4,10,5,,,,Truesight 120,Modron,1/8,"Axiomatic Mind, Disintegration",Monster Manual,,Wizards of the Coast
"Modron, Pentadrone",Large,construct,lawful neutral,16,32,40 ft.,15,14,12,10,10,13,,Perception,,Truesight 120,Modron,2,"Axiomatic Mind, Disintegration",Monster Manual,,Wizards of the Coast
"Modron, Quadrone",Medium,construct,lawful neutral,16,22,"30 ft., fly 30 ft.",12,14,12,10,10,11,,Perception,,Truesight 120,Modron,1,"Axiomatic Mind, Disintegration",Monster Manual,,Wizards of the Coast
"Modron, Tridrone",Medium,construct,lawful neutral,15,16,30 ft.,12,13,12,9,10,9,,,,Truesight 120,Modron,1/2,"Axiomatic Mind, Disintegration",Monster Manual,,Wizards of the Coast
Mongrelfolk,Medium,humanoid (mongrelfolk),ANY,11,26,20 ft.,12,9,15,9,10,6,,"Deception, Perception, Stealth",,Normal,Common,1/4,Mimicry,Curse of Strahd,,Wizards of the Coast
Morkoth,Medium,aberration,chotic evil,17,130,"25 ft., swim 50 ft.",14,14,14,20,15,13,"Dex, Int, Wis","Arcana, History, Perception, Stealth",Nonmagicalres,"Blindsight 30, darkvision 120",Telepathy 120,11,"Amphibious, Normal Spellcasting",Volo's Guide to Monsters,,Wizards of the Coast
Mummy,Medium,undead,lawful evil,11,58,20 ft.,16,8,15,6,10,12,Wis,,"Fireweak, nonmagicalres, necroticimmu, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, poisonedimmu",Darkvision 60,Any,3,,Monster Manual,,Wizards of the Coast
Mummy Lord,Medium,undead,lawful evil,17,97,20 ft.,18,10,17,11,18,16,"Con, Int, Wis, Cha","History, Religion","Fireweak, necroticimmu, poisonimmu, nonmagicalimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, poisonedimmu",Darkvision 60,Any,15,"Magic Resistance, Rejuvenation, Normal Spellcasting, Legendary, Lair",Monster Manual,,Wizards of the Coast
Myconid Adult,Medium,plant,lawful neutral,12,22,20 ft.,10,10,12,10,13,7,,,,Darkvision 120,,1/2,"Distress Spores, Sun Sickness",Monster Manual,,Wizards of the Coast
Myconid Sovereign,Large,plant,lawful neutral,13,60,30 ft.,12,10,14,13,15,10,,,,Darkvision 120,,2,"Distress Spores, Sun Sickness",Monster Manual,,Wizards of the Coast
Myconid Sprout,Small,plant,lawful neutral,10,7,10 ft.,8,10,10,8,11,5,,,,Darkvision 120,,0,"Distress Spores, Sun Sickness",Monster Manual,,Wizards of the Coast
Naergoth Bladelord,Medium,undead,neutral evil,18,135,30 ft.,20,12,16,12,14,16,"Dex, Wis","Perception, Stealth","Necroticres, nonmagicalres, poisonimmu, exhaustionimmu, poisonedimmu",Darkvision 60,"Common, Draconic",11,Sunlight Sensitivity,Rise of Tiamat,,Wizards of the Coast
"Naga, Bone",Large,undead,lawful evil,15,58,30 ft.,15,16,12,15,15,16,,,"Poisonimmu, charmedimmu, exhaustionimmu, paralyzedimmu, poisonedimmu",Darkvision 60,"Common, Any",4,Normal Spellcasting,Monster Manual,,Wizards of the Coast
"Naga, Guardian",Large,monstrosity,lawful good,18,127,40 ft.,19,18,16,16,19,18,"Dex, Con, Int, Wis, Cha",,"Poisonimmu, charmedimmu, poisonedimmu",Darkvision 60,"Celestial, Common",10,"Rejuvenation, Normal Spellcasting",Monster Manual,,Wizards of the Coast
"Naga, Spirit",Large,monstrosity,chotic evil,15,75,40 ft.,18,17,14,16,15,16,"Dex, Con, Int, Wis, Cha",,"Poisonimmu, charmedimmu, poisonedimmu",Darkvision 60,Abyssal Common,8,"Rejuvenation, Normal Spellcasting",Monster Manual,,Wizards of the Coast
Nagpa,Medium,humanoid (nagpa),neutral evil,19,187,30 ft.,9,15,12,23,18,21,"Int, Wis, Cha","Arcana, Deception, History, Insight, Perception",,Truesight 120,"Common, Any",17,"Corruption, Paralysis, Normal Spellcasting",Mordenkainen's Tome of Foes,,Wizards of the Coast
Neogi,Small,aberration,lawful evil,15,33,"30 ft., climb 30 ft.",6,16,14,13,12,15,,"Intimidation, Perception",,Darkvision 60,"Common, Deep SPeech, Undercommon",3,"Mental Fortitude, Spider Climb",Volo's Guide to Monsters,,Wizards of the Coast
Neogi Hatchling,Tiny,aberration,lawful evil,11,7,"20 ft., climb 20 ft.",3,13,10,6,10,9,,,,Darkvision 60,,1/8,"Mental Fortitude, Spider Climb",Volo's Guide to Monsters,,Wizards of the Coast
Neogi Master,Medium,aberration,lawful evil,15,71,"30 ft., climb 30 ft.",6,16,14,16,12,18,Wis,"Arcana, Deception, Intimidation, Perception, Persuasion",,Darkvision 120,"Common, Deep Speech, Undercommon",4,"Mental Fortitude, Normal Spellcasting, Spider Climb",Volo's Guide to Monsters,,Wizards of the Coast
Neothelid,Gargantuan,aberration,chotic evil,16,325,30 ft.,27,7,21,3,16,12,"Int, Wis, Cha",,,Blindsight 120,,13,"Creature Sense, Innate Spellcasting (Psionics), Magic Resistance",Volo's Guide to Monsters,,Wizards of the Coast
Nereid,Medium,fey,ANY CHAOTIC,13,44,"30 ft., swim 60 ft.",10,17,12,13,14,16,,"Acrobatics, Nature, Stealth, Survival",,Darkvision 60,"Aquan, Common, Elvish, Sylvan",2,"Amphibious, Aquatic Invisibility, Mantle Dependent, Shape Water, Speak with Animals",Tales from the Yawning Portal,,Wizards of the Coast
Nightmare,Large,fiend,neutral evil,13,68,"60 ft., fly 90 ft.",18,15,16,10,13,15,,,Fireimmu,Normal,"Abyssal, Common, Infernal",3,"Confer Fire Resistance, Illumination",Monster Manual,,Wizards of the Coast
Nightwalker,Huge,undead,chotic evil,14,297,"40 ft., fly 40 ft.",22,19,24,6,9,8,Con,,"Acidres, coldres, fireres, lightningres, thunderres, nonmagicalres, necroticimmu, poisonimmu, charmedimmu, exhaustionimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu",Darkvision 120,,20,"Annihilating Aura, Life Eater",Mordenkainen's Tome of Foes,,Wizards of the Coast
Nilbog,Small,humanoid (goblinoid),chotic evil,13,7,30 ft.,8,14,10,10,8,15,,Stealth,,Darkvision 60,"COmmon, Goblin",1,"Innate Spellcasting, Nilbogism, Nimble Escape",Volo's Guide to Monsters,,Wizards of the Coast
Nothic,Medium,aberration,neutral evil,15,45,30 ft.,14,16,16,13,10,8,,"Arcana, Insight, Perception, Stealth",,Truesight 120,Undercommon,2,Keen Sight,Monster Manual,,Wizards of the Coast
"NPC, Abjurer",Medium,humanoid (any race),ANY,12,84,30 ft.,9,14,14,18,12,11,"Int, Wis","Arcana, History",,Normal,Any,9,"Normal Spellcasting, Arcane Ward",Volo's Guide to Monsters,,Wizards of the Coast
"NPC, Acolyte",Medium,humanoid,ANY,10,9,30 ft.,10,10,10,10,14,11,,"Medicine, Religion",,Normal,Any,1/4,Normal Spellcasting,Monster Manual,,Wizards of the Coast
"NPC, Apprentice Wizard",Medium,humanoid (any race),ANY,10,9,30 ft.,10,10,10,14,10,11,,"Arcana, History",,Normal,Any,1/4,Normal Spellcasting,Volo's Guide to Monsters,,Wizards of the Coast
"NPC, Archdruid",Medium,humanoid (any race),ANY,16,132,30 ft.,10,14,12,12,20,11,"Int, Wis","Medicine, Nature, Perception",,Normal,"Druidic, Any",12,Normal Spellcasting,Volo's Guide to Monsters,,Wizards of the Coast
"NPC, Archer",Medium,humanoid (any race),ANY,16,75,30 ft.,11,18,16,11,13,10,,"Acrobatics, Perception, Stealth",,Normal,Any,3,Archer's Eye,Volo's Guide to Monsters,,Wizards of the Coast
"NPC, Archmage",Medium,humanoid,ANY,12,99,30 ft.,10,14,12,20,15,16,"Int, Wis","Arcana, History","Spellres, nonmagicalres",Normal,Any,12,"Magic Resistance, Normal Spellcasting",Monster Manual,,Wizards of the Coast
"NPC, Assassin",Medium,humanoid,NOT GOOD,15,78,30 ft.,11,16,14,13,11,10,"Dex, Int","Acrobatics, Deception, Perception, Stealth",Poisonres,Normal,"Thieves' Cant, Any",8,"Assassinate, Evasion, Sneak Attack",Monster Manual,,Wizards of the Coast
"NPC, Bandit",Medium,humanoid,NOT LAWFUL,12,11,30 ft.,11,12,12,10,10,10,,,,Normal,Any,1/8,,Monster Manual,,Wizards of the Coast
"NPC, Bandit Captain",Medium,humanoid,NOT LAWFUL,15,65,30 ft.,15,16,14,14,11,14,"Str, Dex, Wis","Athletics, Deception",,Normal,Any,2,,Monster Manual,,Wizards of the Coast
"NPC, Bard",Medium,humanoid (any race),ANY,15,44,30 ft.,11,14,12,10,13,14,"Dex, Wis","Acrobatics, Perception, Performance",,Normal,Any,2,"Normal SPellcasting, Song of Rest, Taunt",Volo's Guide to Monsters,,Wizards of the Coast
"NPC, Berserker",Medium,humanoid,ANY CHAOTIC,13,67,30 ft.,16,12,17,9,11,9,,,,Normal,Any,2,Reckless,Monster Manual,,Wizards of the Coast
"NPC, Blackguard",Medium,humanoid (any race),NOT GOOD,18,153,30 ft.,18,11,18,11,14,15,"Wis, Cha","Athletics, Deception, Intimidation",,Normal,Any,8,Normal Spellcasting,Volo's Guide to Monsters,,Wizards of the Coast
"NPC, Champion",Medium,humanoid (any race),ANY,18,143,30 ft.,20,15,14,10,14,12,"Str, Con","Athletics, Intimidation, Perception",,Normal,Any,9,"Indomitable, Second Wind",Volo's Guide to Monsters,,Wizards of the Coast
"NPC, Commoner",Medium,humanoid,ANY,10,4,30 ft.,10,10,10,10,10,10,,,,Normal,Any,0,,Monster Manual,,Wizards of the Coast
"NPC, Conjurer",Medium,humanoid (any race),ANY,12,40,30 ft.,9,14,11,17,12,11,"Int, Wis","Arcana, History",,Normal,Any,6,"Normal Spellcasting, Benign Transportation",Volo's Guide to Monsters,,Wizards of the Coast
"NPC, Cult Fanatic",Medium,humanoid,NOT GOOD,13,33,30 ft.,11,14,12,10,13,14,,"Deception, Persuasion, Religion",,Normal,Any,2,"Dark Devotion, Normal Spellcasting",Monster Manual,,Wizards of the Coast
"NPC, Cultist",Medium,humanoid,NOT GOOD,12,9,30 ft.,11,12,10,10,11,10,,"Deception, Religion",,Normal,Any,1/8,Dark Devotion,Monster Manual,,Wizards of the Coast
"NPC, Diviner",Medium,humanoid (any race),ANY,12,67,30 ft.,9,14,11,18,12,11,"Int, Wis","Arcana, History",,Normal,Any,8,"Normal Spellcasting, Portent",Volo's Guide to Monsters,,Wizards of the Coast
